100 81.6000000000  63.600000
110 89.6000000000  74.200000
120 97.6000000000  84.600000
130 105.3000000000  94.900000
140 112.8000000000 105.100000
150 120.3000000000 115.300000
160 129.6000000000 125.400000
170 145.9000000000 125.600000
180 161.8000000000 121.800000
190 173.3000000000 120.600000
200 182.0000000000 122.200000
210 188.4000000000 126.100000
220 191.1000000000 134.300000
230 183.8000000000 154.900000
240 179.5000000000 170.700000
250 181.4000000000 178.800000
260 185.2000000000 184.500000
270 189.6000000000 189.500000
280 194.0000000000 194.000000
290 198.4000000000 198.500000
300 202.7000000000 202.600000
