100 82.0000000000  82.000000
105 82.0000000000  82.000000
110 82.0000000000  82.000000
115 82.0000000000  82.000000
120 82.0000000000  82.000000
125 82.0000000000  82.000000
130 82.0000000000  82.000000
135 82.0000000000  82.000000
140 82.0000000000  82.000000
145 82.0000000000  82.000000
150 82.0000000000  82.000000
155 82.0000000000  82.000000
160 82.0000000000  82.000000
165 82.0000000000  82.000000
170 82.0000000000  82.000000
175 82.0000000000  82.000000
180 82.0000000000  82.000000
185 82.0000000000  82.000000
190 82.0000000000  82.000000
195 82.0000000000  82.000000
200 82.0000000000  82.000000
205 82.0000000000  82.000000
210 82.0000000000  82.000000
215 82.0000000000  82.000000
220 82.0000000000  82.000000
225 82.0000000000  82.000000
230 82.0000000000  82.000000
235 82.0000000000  82.000000
240 82.0000000000  82.000000
245 82.0000000000  82.000000
250 82.0000000000  82.000000
255 82.0000000000  82.000000
260 82.0000000000  82.000000
265 82.0000000000  82.000000
270 82.0000000000  82.000000
275 82.0000000000  82.000000
280 82.0000000000  82.000000
