100 82.1100000000  81.050000
105 86.1500000000  86.160000
110 90.1700000000  90.180000
115 94.1500000000  94.160000
120 98.1100000000  98.120000
125 102.0300000000 102.040000
130 105.9000000000 105.920000
135 109.7300000000 109.760000
140 113.5200000000 113.530000
145 117.2600000000 117.260000
150 121.0300000000 120.910000
155 125.1700000000 124.290000
160 131.2300000000 126.400000
165 140.3400000000 125.720000
170 150.0600000000 123.300000
175 158.4400000000 121.060000
180 165.4100000000 119.620000
185 171.3400000000 118.930000
190 176.5300000000 118.890000
195 181.0900000000 119.390000
200 185.1100000000 120.410000
205 188.6000000000 121.950000
210 191.5700000000 124.100000
215 193.9300000000 126.970000
220 195.4700000000 130.880000
225 194.4100000000 138.030000
230 186.7100000000 153.370000
235 180.6600000000 166.050000
240 179.3700000000 172.760000
245 180.2100000000 176.980000
250 181.8900000000 180.210000
255 183.9200000000 183.020000
260 186.0900000000 185.600000
265 188.3300000000 188.070000
270 190.5800000000 190.430000
275 192.8500000000 192.730000
280 195.9500000000 194.280000
